Stock_Name,Date,Time,Open,High,Low,Close,Price,Volume,Percent_Change
"NESTLEIND","18 November, 2021","09:49:04",19400,19488.8,19372.65,19477.05,19392.05,2946,-0.44
"NESTLEIND","18 November, 2021","09:51:04",19400,19488.8,19362.5,19477.05,19362.5,3061,-0.59
"NESTLEIND","18 November, 2021","09:53:04",19400,19488.8,19360,19477.05,19362.1,3099,-0.59
"NESTLEIND","18 November, 2021","09:55:04",19400,19488.8,19360,19477.05,19380,3192,-0.5
"NESTLEIND","18 November, 2021","09:57:03",19400,19488.8,19351.1,19477.05,19362.75,3234,-0.59
"NESTLEIND","18 November, 2021","09:59:04",19400,19488.8,19321,19477.05,19340,3425,-0.71
"NESTLEIND","18 November, 2021","10:01:03",19400,19488.8,19321,19477.05,19350,3448,-0.66
"NESTLEIND","18 November, 2021","10:03:03",19400,19488.8,19321,19477.05,19339.6,3542,-0.71
"NESTLEIND","18 November, 2021","10:05:03",19400,19488.8,19320.6,19477.05,19338.1,3666,-0.72
"NESTLEIND","18 November, 2021","10:07:04",19400,19488.8,19320.6,19477.05,19343.55,3707,-0.69
"NESTLEIND","18 November, 2021","10:09:04",19400,19488.8,19310,19477.05,19319.55,3843,-0.82
"NESTLEIND","18 November, 2021","10:11:04",19400,19488.8,19280.05,19477.05,19309.4,4097,-0.87
"NESTLEIND","18 November, 2021","10:13:04",19400,19488.8,19280.05,19477.05,19332.9,4253,-0.75
"NESTLEIND","18 November, 2021","10:15:04",19400,19488.8,19280.05,19477.05,19349.35,4309,-0.66
"NESTLEIND","18 November, 2021","10:17:04",19400,19488.8,19280.05,19477.05,19362.55,4420,-0.59
"NESTLEIND","18 November, 2021","10:19:04",19400,19488.8,19280.05,19477.05,19352.15,4460,-0.65
"NESTLEIND","18 November, 2021","10:21:05",19400,19488.8,19280.05,19477.05,19390.95,4747,-0.44
"NESTLEIND","18 November, 2021","10:23:04",19400,19488.8,19280.05,19477.05,19378.95,4885,-0.51
"NESTLEIND","18 November, 2021","10:25:04",19400,19488.8,19280.05,19477.05,19371.85,4987,-0.54
"NESTLEIND","18 November, 2021","10:27:04",19400,19488.8,19280.05,19477.05,19409.6,5322,-0.35
"NESTLEIND","18 November, 2021","10:29:04",19400,19488.8,19280.05,19477.05,19396.7,5403,-0.41
"NESTLEIND","18 November, 2021","10:31:03",19400,19488.8,19280.05,19477.05,19389.7,5499,-0.45
"NESTLEIND","18 November, 2021","10:33:04",19400,19488.8,19280.05,19477.05,19389.4,5579,-0.45
"NESTLEIND","18 November, 2021","10:35:04",19400,19488.8,19280.05,19477.05,19395.5,5636,-0.42
"NESTLEIND","18 November, 2021","10:37:04",19400,19488.8,19280.05,19477.05,19393.15,5717,-0.43
"NESTLEIND","18 November, 2021","10:39:04",19400,19488.8,19280.05,19477.05,19388.8,5751,-0.46
"NESTLEIND","18 November, 2021","10:41:03",19400,19488.8,19280.05,19477.05,19360.55,5818,-0.6
"NESTLEIND","18 November, 2021","10:43:04",19400,19488.8,19280.05,19477.05,19343.15,5939,-0.69
"NESTLEIND","18 November, 2021","10:45:04",19400,19488.8,19280.05,19477.05,19340,6055,-0.71
"NESTLEIND","18 November, 2021","10:47:04",19400,19488.8,19280.05,19477.05,19360,6119,-0.6
"NESTLEIND","18 November, 2021","10:49:04",19400,19488.8,19280.05,19477.05,19371.15,6164,-0.55
"NESTLEIND","18 November, 2021","10:51:04",19400,19488.8,19280.05,19477.05,19351.9,6251,-0.65
"NESTLEIND","18 November, 2021","10:53:04",19400,19488.8,19280.05,19477.05,19366.35,6656,-0.57
"NESTLEIND","18 November, 2021","10:55:04",19400,19488.8,19280.05,19477.05,19358.55,6678,-0.61
"NESTLEIND","18 November, 2021","10:57:04",19400,19488.8,19280.05,19477.05,19367,6728,-0.57
"NESTLEIND","18 November, 2021","10:59:04",19400,19488.8,19280.05,19477.05,19361.45,6745,-0.6
"NESTLEIND","18 November, 2021","11:01:04",19400,19488.8,19280.05,19477.05,19365.95,6816,-0.57
"NESTLEIND","18 November, 2021","11:03:04",19400,19488.8,19280.05,19477.05,19360.95,6866,-0.6
"NESTLEIND","18 November, 2021","11:05:03",19400,19488.8,19280.05,19477.05,19345,6968,-0.68
"NESTLEIND","18 November, 2021","11:07:04",19400,19488.8,19280.05,19477.05,19341.1,6999,-0.7
"NESTLEIND","18 November, 2021","11:09:04",19400,19488.8,19280.05,19477.05,19347.5,7065,-0.67
"NESTLEIND","18 November, 2021","11:11:04",19400,19488.8,19280.05,19477.05,19343.05,7114,-0.69
"NESTLEIND","18 November, 2021","11:13:04",19400,19488.8,19280.05,19477.05,19325.95,7305,-0.78
"NESTLEIND","18 November, 2021","11:15:04",19400,19488.8,19280.05,19477.05,19341.4,7329,-0.7
"NESTLEIND","18 November, 2021","11:17:04",19400,19488.8,19280.05,19477.05,19343.4,7358,-0.69
"NESTLEIND","18 November, 2021","11:19:04",19400,19488.8,19280.05,19477.05,19338.4,7443,-0.72
"NESTLEIND","18 November, 2021","11:21:03",19400,19488.8,19280.05,19477.05,19320.1,7645,-0.81
"NESTLEIND","18 November, 2021","11:23:04",19400,19488.8,19280.05,19477.05,19324.35,7699,-0.79
"NESTLEIND","18 November, 2021","11:25:04",19400,19488.8,19280.05,19477.05,19334.5,7738,-0.74
"NESTLEIND","18 November, 2021","11:27:03",19400,19488.8,19280.05,19477.05,19344.65,7793,-0.68
"NESTLEIND","18 November, 2021","11:29:03",19400,19488.8,19280.05,19477.05,19356.4,9228,-0.62
